YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1968,22.100000000000001,1.3,4.2000000000000002,81.5,297.60000000000002,545.20000000000005,519.29999999999995,242,496.80000000000001,281.60000000000002,152,119.2
1969,106.3,64.700000000000003,14.6,20.800000000000001,317.30000000000001,422.80000000000001,345.19999999999999,281.39999999999998,489.80000000000001,146.80000000000001,343.69999999999999,65.799999999999997
1970,72.200000000000003,34,7.7999999999999998,58.200000000000003,422.69999999999999,407.30000000000001,564.60000000000002,342.89999999999998,423.5,386.60000000000002,418.39999999999998,232.69999999999999
1971,41.5,32.799999999999997,37.700000000000003,35.299999999999997,398,394.60000000000002,421.10000000000002,327.89999999999998,470.19999999999999,505.30000000000001,178.40000000000001,155.90000000000001
1972,13.699999999999999,1.7,7.5,178.30000000000001,420.19999999999999,470,544.60000000000002,384.89999999999998,444.5,263.80000000000001,413.89999999999998,180
1973,18.100000000000001,20.300000000000001,30.5,29.600000000000001,418.60000000000002,488.60000000000002,371.39999999999998,370.30000000000001,357.5,247.19999999999999,349.80000000000001,289.10000000000002
1974,22.199999999999999,43.899999999999999,17.199999999999999,301.39999999999998,353.30000000000001,343.80000000000001,257.10000000000002,456.19999999999999,321.60000000000002,398.39999999999998,372.19999999999999,74.799999999999997
1975,276.89999999999998,27.5,8,24.199999999999999,362.89999999999998,706.29999999999995,173.59999999999999,357.39999999999998,351.80000000000001,373.60000000000002,323.69999999999999,99.700000000000003
1976,20.899999999999999,9.6999999999999993,0.59999999999999998,161.59999999999999,551.39999999999998,441.39999999999998,382.10000000000002,487.69999999999999,387,166.80000000000001,307.19999999999999,359.60000000000002
1977,79.700000000000003,43.200000000000003,6.0999999999999996,6.9000000000000004,275.30000000000001,339.30000000000001,341.10000000000002,345.5,467.10000000000002,263.60000000000002,153.30000000000001,67.099999999999994
1978,109.59999999999999,29.300000000000001,18.899999999999999,63.399999999999999,343.60000000000002,462.19999999999999,656.60000000000002,346.30000000000001,310.80000000000001,243.69999999999999,83.400000000000006,44.600000000000001
1979,35.5,9.4000000000000004,3.8999999999999999,64.799999999999997,146.30000000000001,282.80000000000001,455.89999999999998,173.59999999999999,330.19999999999999,163.5,169.80000000000001,13.6
1980,5.5,0.80000000000000004,9.1999999999999993,38.799999999999997,728.39999999999998,604.20000000000005,575.70000000000005,494.39999999999998,271.89999999999998,252,143.69999999999999,500.69999999999999
1981,11.1,27.800000000000001,1.7,94.099999999999994,270.80000000000001,600.60000000000002,344.10000000000002,510.69999999999999,452.60000000000002,242.09999999999999,348.39999999999998,170.69999999999999
1982,8.8000000000000007,2.7999999999999998,6.5999999999999996,97.5,229.19999999999999,448.69999999999999,410.5,347.60000000000002,369,164.5,238.80000000000001,60.5
1983,22.100000000000001,0,3.1000000000000001,9.0999999999999996,240.80000000000001,424.30000000000001,468.89999999999998,493.80000000000001,505.5,275.80000000000001,261,88.099999999999994
1984,69.400000000000006,173.80000000000001,26.300000000000001,156.59999999999999,162.30000000000001,424.89999999999998,446.39999999999998,125.8,283.60000000000002,347.10000000000002,158.90000000000001,445.19999999999999
1985,12,19.199999999999999,24.100000000000001,55,278.10000000000002,588.39999999999998,230.90000000000001,375.19999999999999,362.5,358.89999999999998,232.09999999999999,94.400000000000006
1986,14.800000000000001,0.59999999999999998,1.5,8.1999999999999993,302.60000000000002,312.19999999999999,308.5,444,408.89999999999998,176.09999999999999,163.5,47
1987,72.400000000000006,35.200000000000003,20.399999999999999,17.699999999999999,162.90000000000001,343.69999999999999,45.299999999999997,666.5,378.89999999999998,373.39999999999998,313.39999999999998,334.10000000000002
1988,10.199999999999999,39.899999999999999,28,82.700000000000003,427.5,357.39999999999998,495.60000000000002,354.19999999999999,603.29999999999995,271.39999999999998,583,69.900000000000006
