,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1951,1953-JAN-56.00,1953-FEB-65.30,1953-MAR-20.10,1953-APR-159.40,1953-MAY-241.10,1953-JUN-549.90,1953-JUL-444.40,1953-AUG-262.80,1953-SEP-370.10,1953-OCT-243.60,1953-NOV-246.00,1953-DEC-63.30
1952,1954-JAN-83.80,1954-FEB-2.10,1954-MAR-34.30,1954-APR-58.00,1954-MAY-394.70,1954-JUN-539.40,1954-JUL-510.80,1954-AUG-605.40,1954-SEP-763.80,1954-OCT-247.20,1954-NOV-84.80,1954-DEC-124.70
1953,1955-JAN-57.30,1955-FEB-28.20,1955-MAR-9.90,1955-APR-68.80,1955-MAY-663.60,1955-JUN-651.10,1955-JUL-298.40,1955-AUG-356.90,1955-SEP-341.80,1955-OCT-466.50,1955-NOV-362.90,1955-DEC-44.20
1954,1956-JAN-49.20,1956-FEB-77.20,1956-MAR-33.80,1956-APR-130.30,1956-MAY-491.80,1956-JUN-343.10,1956-JUL-468.40,1956-AUG-467.70,1956-SEP-325.10,1956-OCT-458.70,1956-NOV-164.10,1956-DEC-70.50
1955,1957-JAN-28.00,1957-FEB-19.30,1957-MAR-4.60,1957-APR-19.00,1957-MAY-142.40,1957-JUN-741.90,1957-JUL-316.20,1957-AUG-421.30,1957-SEP-354.30,1957-OCT-299.70,1957-NOV-88.60,1957-DEC-71.90
1956,1958-JAN-22.90,1958-FEB-14.30,1958-MAR-30.40,1958-APR-24.60,1958-MAY-355.10,1958-JUN-530.70,1958-JUL-440.70,1958-AUG-388.40,1958-SEP-350.60,1958-OCT-265.20,1958-NOV-313.80,1958-DEC-70.70
1957,1959-JAN-10.10,1959-FEB-1.80,1959-MAR-31.30,1959-APR-86.70,1959-MAY-238.10,1959-JUN-455.70,1959-JUL-817.10,1959-AUG-409.30,1959-SEP-589.60,1959-OCT-332.70,1959-NOV-242.50,1959-DEC-128.50
1958,1960-JAN-104.20,1960-FEB-72.40,1960-MAR-12.10,1960-APR-53.50,1960-MAY-535.40,1960-JUN-541.50,1960-JUL-308.40,1960-AUG-270.70,1960-SEP-442.40,1960-OCT-400.00,1960-NOV-191.70,1960-DEC-92.80
1959,1961-JAN-82.10,1961-FEB-99.40,1961-MAR-33.20,1961-APR-88.10,1961-MAY-973.10,1961-JUN-383.30,1961-JUL-304.90,1961-AUG-557.10,1961-SEP-612.00,1961-OCT-379.90,1961-NOV-280.60,1961-DEC-144.50
1960,1962-JAN-152.40,1962-FEB-14.90,1962-MAR-17.30,1962-APR-46.40,1962-MAY-310.40,1962-JUN-367.70,1962-JUL-409.10,1962-AUG-420.60,1962-SEP-474.50,1962-OCT-259.80,1962-NOV-101.70,1962-DEC-384.90
1961,1963-JAN-79.90,1963-FEB-26.80,1963-MAR-7.40,1963-APR-69.50,1963-MAY-259.90,1963-JUN-434.70,1963-JUL-303.30,1963-AUG-601.20,1963-SEP-614.30,1963-OCT-295.50,1963-NOV-109.30,1963-DEC-179.90
1962,1964-JAN-65.50,1964-FEB-21.90,1964-MAR-3.10,1964-APR-18.10,1964-MAY-530.60,1964-JUN-465.30,1964-JUL-287.30,1964-AUG-472.10,1964-SEP-521.20,1964-OCT-218.90,1964-NOV-349.20,1964-DEC-101.60
1963,1965-JAN-11.80,1965-FEB-30.40,1965-MAR-25.30,1965-APR-51.00,1965-MAY-292.30,1965-JUN-408.80,1965-JUL-392.10,1965-AUG-396.60,1965-SEP-576.80,1965-OCT-290.50,1965-NOV-187.90,1965-DEC-500.40
1964,1966-JAN-79.80,1966-FEB-4.20,1966-MAR-12.00,1966-APR-38.70,1966-MAY-376.90,1966-JUN-148.80,1966-JUL-433.50,1966-AUG-335.60,1966-SEP-454.10,1966-OCT-171.90,1966-NOV-333.80,1966-DEC-311.90
1965,1967-JAN-164.60,1967-FEB-21.60,1967-MAR-30.00,1967-APR-63.40,1967-MAY-516.40,1967-JUN-340.80,1967-JUL-537.80,1967-AUG-614.30,1967-SEP-303.50,1967-OCT-427.50,1967-NOV-99.70,1967-DEC-97.00
1966,1968-JAN-22.10,1968-FEB-1.30,1968-MAR-4.20,1968-APR-81.50,1968-MAY-297.60,1968-JUN-545.20,1968-JUL-519.30,1968-AUG-242.00,1968-SEP-496.80,1968-OCT-281.60,1968-NOV-152.00,1968-DEC-119.20
1967,1969-JAN-106.30,1969-FEB-64.70,1969-MAR-14.60,1969-APR-20.80,1969-MAY-317.30,1969-JUN-422.80,1969-JUL-345.20,1969-AUG-281.40,1969-SEP-489.80,1969-OCT-146.80,1969-NOV-343.70,1969-DEC-65.80
1968,1970-JAN-72.20,1970-FEB-34.00,1970-MAR-7.80,1970-APR-58.20,1970-MAY-422.70,1970-JUN-407.30,1970-JUL-564.60,1970-AUG-342.90,1970-SEP-423.50,1970-OCT-386.60,1970-NOV-418.40,1970-DEC-232.70
1969,1971-JAN-41.50,1971-FEB-32.80,1971-MAR-37.70,1971-APR-35.30,1971-MAY-398.00,1971-JUN-394.60,1971-JUL-421.10,1971-AUG-327.90,1971-SEP-470.20,1971-OCT-505.30,1971-NOV-178.40,1971-DEC-155.90
1970,1972-JAN-13.70,1972-FEB-1.70,1972-MAR-7.50,1972-APR-178.30,1972-MAY-420.20,1972-JUN-470.00,1972-JUL-544.60,1972-AUG-384.90,1972-SEP-444.50,1972-OCT-263.80,1972-NOV-413.90,1972-DEC-180.00
1971,1973-JAN-18.10,1973-FEB-20.30,1973-MAR-30.50,1973-APR-29.60,1973-MAY-418.60,1973-JUN-488.60,1973-JUL-371.40,1973-AUG-370.30,1973-SEP-357.50,1973-OCT-247.20,1973-NOV-349.80,1973-DEC-289.10
1972,1974-JAN-22.20,1974-FEB-43.90,1974-MAR-17.20,1974-APR-301.40,1974-MAY-353.30,1974-JUN-343.80,1974-JUL-257.10,1974-AUG-456.20,1974-SEP-321.60,1974-OCT-398.40,1974-NOV-372.20,1974-DEC-74.80
1973,1975-JAN-276.90,1975-FEB-27.50,1975-MAR-8.00,1975-APR-24.20,1975-MAY-362.90,1975-JUN-706.30,1975-JUL-173.60,1975-AUG-357.40,1975-SEP-351.80,1975-OCT-373.60,1975-NOV-323.70,1975-DEC-99.70
